val_accuracy,step,epoch,train_accuracy
0.6429112553596497,72,0,
,72,0,0.6193867921829224
0.6833874583244324,145,1,
,145,1,0.6646983623504639
0.6965909004211426,218,2,
,218,2,0.6839755773544312
0.7046536803245544,291,3,
,291,3,0.695798933506012
0.713690459728241,364,4,
,364,4,0.6999993324279785
0.7179112434387207,437,5,
,437,5,0.7072976231575012
0.7147186398506165,510,6,
,510,6,0.7091171145439148
0.7166666388511658,583,7,
,583,7,0.7090427279472351
0.7161796689033508,656,8,
,656,8,0.7093809247016907
0.7195346355438232,729,9,
,729,9,0.7093335390090942
0.7176406979560852,802,10,
,802,10,0.7088600993156433
0.7193182110786438,875,11,
,875,11,0.7094079256057739
0.7201298475265503,948,12,
,948,12,0.7106998562812805
0.7194805145263672,1021,13,
,1021,13,0.709516167640686
0.7204545736312866,1094,14,
,1094,14,0.7109907269477844
0.7178571224212646,1167,15,
,1167,15,0.7117685675621033
0.7207792401313782,1240,16,
,1240,16,0.7108080983161926
0.7192640900611877,1313,17,
,1313,17,0.7108689546585083
0.7220237851142883,1386,18,
,1386,18,0.7114371061325073
0.7167207598686218,1459,19,
,1459,19,0.711937665939331
0.722456693649292,1532,20,
,1532,20,0.7114101052284241
0.7179112434387207,1605,21,
,1605,21,0.7112544775009155
0.7188853025436401,1678,22,
,1678,22,0.711383044719696
0.7186146974563599,1751,23,
,1751,23,0.7106592655181885
0.714989185333252,1824,24,
,1824,24,0.708589494228363
0.7164502143859863,1897,25,
,1897,25,0.707980751991272
0.711850643157959,1970,26,
,1970,26,0.7071555852890015
0.71688312292099,2043,27,
,2043,27,0.7080957293510437
0.7135822772979736,2116,28,
,2116,28,0.7005742788314819
0.7145562767982483,2189,29,
,2189,29,0.7062559723854065
0.6870129704475403,2262,30,
,2262,30,0.7013521194458008
0.6972943544387817,2335,31,
,2335,31,0.6898669600486755
0.708116888999939,2408,32,
,2408,32,0.6979092955589294
0.7062229514122009,2481,33,
,2481,33,0.6990050077438354
0.7076298594474792,2554,34,
,2554,34,0.7001549005508423
0.7115259766578674,2627,35,
,2627,35,0.7016023993492126
0.7108225226402283,2700,36,
,2700,36,0.7016429305076599
0.710606038570404,2773,37,
,2773,37,0.7020217180252075
0.7077381014823914,2846,38,
,2846,38,0.7040373682975769
0.7141774892807007,2919,39,
,2919,39,0.7024749517440796
0.7135822772979736,2992,40,
,2992,40,0.7049234509468079
0.7140692472457886,3065,41,
,3065,41,0.7044094204902649
0.7104978561401367,3138,42,
,3138,42,0.7040508985519409
0.7072510719299316,3211,43,
,3211,43,0.698220431804657
0.7057900428771973,3284,44,
,3284,44,0.701183021068573
0.6991882920265198,3357,45,
,3357,45,0.694872260093689
0.7057900428771973,3430,46,
,3430,46,0.6998099088668823
0.7093614935874939,3503,47,
,3503,47,0.7016023993492126
0.70865797996521,3576,48,
,3576,48,0.7005674839019775
0.708171010017395,3649,49,
,3649,49,0.7027657628059387
