val_accuracy,epoch,step,train_accuracy
0.7188311815261841,0,72,
,0,72,0.7018932104110718
0.7244047522544861,1,145,
,1,145,0.7222188115119934
0.7316558361053467,2,218,
,2,218,0.7283063530921936
0.7295454740524292,3,291,
,3,291,0.7337378263473511
0.7291666865348816,4,364,
,4,364,0.7375527024269104
0.7285172939300537,5,437,
,5,437,0.7407790422439575
0.728787899017334,6,510,
,6,510,0.7427676916122437
0.7281926274299622,7,583,
,7,583,0.7452161908149719
0.7262986898422241,8,656,
,8,656,0.7483749389648438
0.7260281443595886,9,729,
,9,729,0.7507287859916687
